INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch GCC as the compiler.
   Compiling ../../../../crazy_function_core_test.cpp in debug mode
   Compiling ../../../../crazy_function_core.cpp in debug mode
   Generating csim.exe
0: 0.502506
1: 0.923242
2: 0.957155
3: 0.573066
4: 0.124105
5: 0.023044
6: 0.362799
7: 0.830999
8: 0.997185
9: 0.708565
10: 0.230496
11: 0.002511
12: 0.234220
13: 0.712590
14: 0.997810
15: 0.827650
16: 0.358555
17: 0.021808
18: 0.127013
19: 0.577445
20: 0.958979
21: 0.920834
22: 0.498081
23: 0.079396
24: 0.049717
25: 0.436330
26: 0.883785
27: 0.980694
28: 0.637959
29: 0.170689
30: 0.008490
31: 0.300487
32: 0.778220
33: 1.002462
34: 0.767048
35: 0.288415
36: 0.006617
37: 0.180737
38: 0.650691
39: 0.984404
40: 0.875063
41: 0.423195
42: 0.044246
43: 0.086619
44: 0.511357
45: 0.927958
46: 0.953400
47: 0.564293
48: 0.118379
49: 0.025630
50: 0.371319
51: 0.837621
52: 0.995820
53: 0.700469
54: 0.223112
55: 0.002629
56: 0.241731
57: 0.720589
58: 0.998943
59: 0.820875
60: 0.350101
61: 0.019447
62: 0.132916
63: 0.586184
64: 0.962519
65: 0.915921
66: 0.489231
67: 0.074746
68: 0.053542
69: 0.445114
70: 0.889452
71: 0.978034
72: 0.629418
73: 0.164120
74: 0.009933
75: 0.308615
76: 0.785560
77: 1.002266
78: 0.759495
79: 0.280450
80: 0.005562
81: 0.187562
82: 0.659121
83: 0.986688
84: 0.869101
85: 0.414468
86: 0.040777
87: 0.091597
88: 0.520205
89: 0.932541
90: 0.949505
91: 0.555500
92: 0.112773
93: 0.028365
94: 0.379880
95: 0.844137
96: 0.994300
97: 0.692310
98: 0.215815
99: 0.002903
INFO: [SIM 1] CSim done with 0 errors.
INFO: [SIM 3] *************** CSIM finish ***************
